# Short English names for the characters and items that appear in card Ids.
#
# Columns: japanese <TAB> english <TAB> number of cards using the name.
# The third column is informational; generate_card_names.js reads the first two.
#
# These are the *short* names the card plate needs, not the full names -- the
# plate clips text centred, so "Naked Crook Mofus" would lose both its head and
# its tail. Full names come from カード情報 instead and are used in the combat log.
#
# mistranslated_names.json overrides the english column wherever the two
# disagree, so card labels spell names the same way the dialogue does. See the
# exception list in generate_card_names.js for the handful of entries where the
# override is refused because it would erase a distinction between cards.
エール２	El 2	60
ランス	Rance	19
リセット２	Reset 2	12
子供志津香	Young Shizuka	11
ザンス２	Zance 2	10
乱義２	Rangi 2	10
スシヌ２	Sushinu 2	9
志津香２	Shizuka 2	9
ナギ２	Nagi 2	9
深根２	Tone 2	9
ピグ	Pigu	8
ウズメ２	Uzume 2	8
元就２	Motonari 2	8
シィル	Sill	7
ミックス２	Mix 2	7
レリコフ２	Lelikov 2	7
ミラクル	Miracle	6
ダークランス２	Dark Rance 2	6
チルディ	Tilde	5
かなみ	Kanami	5
シーラ	Sheila	5
マジック	Magic	5
クルックー	Crook	5
パステル	Pastel	5
長田君２	Nagata-kun 2	5
あてな２号	Athena 2.0	4
サーナキア	Sanakia	4
リア	Lia	4
ジュリア	Julia	4
コパンドン	Copandon	4
マリア	Maria	4
ロードリング	Lordring	4
セル	Sel	4
香姫	Kouhime	4
謙信	Kenshin	4
千姫	Senhime	4
美樹	Miki	4
ウィリス	Willis	4
アギレダ	Agireda	4
ビスケッタ	Biscuitta	3
ロナ	Rona	3
タマ	Tama	3
クレイン	Crane	3
カフェ	Cafe	3
アルカネーゼ	Alkanese	3
キャロリ	Calory	3
カロリア	Caloria	3
アームズ	Arms	3
マリス	Maris	3
アールコート	Arlcoate	3
スー	Sioux	3
メナド	Menad	3
レイラ	Leila	3
メルフェイス	Melfeis	3
ペルエレ	Peruele	3
クリーム	Cream	3
アミトス	Amitos	3
フレイア	Freya	3
アナセル	Anasel	3
パットン	Patton	3
ウルザ	Urza	3
千鶴子	Chizuko	3
アニス	Anise	3
リズナ	Rizna	3
ウスピラ	Uspira	3
エレナ	Elena	3
セスナ	Cessna	3
子供ナギ	Young Nagi	3
香澄	Kasumi	3
エレノア	Eleanor	3
ミル	Mill	3
サチコ	Sachiko	3
アム	Am	3
てる	Teru	3
ちぬ	Chinu	3
五十六	Isoroku	3
鈴女	Suzume	3
リセット	Reset	3
イージス	Aegis	3
フル	Full	3
ビビッド	Vivid	3
モダン	Modern	3
シャリエラ	Shariela	3
サテラ	Satella	3
フェリス	Feliss	3
ドッス２	Doss 2	3
ワッス２	Wass 2	3
松下姫２	Princess Panasonic 2	3
ニミッツ	Nimitz	3
シルキィ	Silky	3
クリン	Klean	2
ハイジ	Heidi	2
魔剣 カオス	Demon Sword Chaos	2
量産型あてな２号	Mass-Produced Athena 2.0	2
キバ子	Kibako	2
アタゴ	Atago	2
ノア	Noah	2
日光	Nikkou	2
ルート	Root	2
クルーチェ	Krutche	2
バレス	Barres	2
ハウレーン	Haurein	2
リック	Rick	2
あおい	Aoi	2
イベット	Yvette	2
ヒューバート	Hubert	2
ロレックス	Rolex	2
闇鷺	Dark Heron	2
ルーベラン	Ruberan	2
メリム	Merim	2
イオ	Io	2
透琳	Tourin	2
ガンジー	Gandhi	2
カオル	Kaoru	2
ウィチタ	Wichita	2
アレックス	Alex	2
