# The English for the enemy status lines -- the four hints under an enemy's
# stats in battle. Hand-written; this is the file to edit.
#
# Columns: the Japanese <TAB> the English.
#
# Keyed by the Japanese rather than by string slot, because the slot numbers
# belong to one build of one version of the game and the text does not, and
# because a line the game reuses is then translated once rather than once per
# enemy. scripts/extract_enemy_info.js writes the Japanese side, in
# enemy_info_lines.v1.04.tsv; a line left out here stays Japanese in game.
#
# The panel fits about twenty full-width characters per line and does not wrap,
# so the build measures each of these and says which ones overhang.
#
# Terms follow the ones already in archives/Rance10EX_v1_04: 異常 is a Debuff, 支援 a
# Buff, 遠隔 Ranged, コンボ a Combo, 大技 a Special Move. 敵 in these lines is
# the enemy the panel is describing, so it reads as "it"; 自軍 is your side.
混乱状態	Confused
4ラウンド以降→逃亡有り	Round 4 on → may flee
1ラウンド　力溜め	Round 1: charges up
3.6.9ラウンド　大技	Rounds 3, 6, 9: Special Move
3.6.9 ケイブワンの大技	Rounds 3, 6, 9: Kaybwan's Special Move
ケイブニャンの大技　有り？	Kaybnyan has a Special Move? Maybe?
自軍.燃え→大技	Allies Burning → Special Move
敵.燃え→異常除去	Burning → cleanses its Debuffs
7ラウンド　回復	Round 7: heals
ライバル戦	Rival battle
重装甲　装甲破壊等で除去可	Heavy Armor: Armor Break removes it
4.9.14ラウンド　バリア展開	Rounds 4, 9, 14: raises a Barrier
5.10.15.20 大技	Rounds 5, 10, 15, 20: Special Move
魔法耐性有り	Has Magic Resistance
ラウンドが進むと攻撃回数ＵＰ	Attacks more often as rounds pass
4.8.12ラウンド　大技、体質再生	Rounds 4, 8, 12: Special Move, Regen
自軍が回復→敵も回復	You heal → it heals too
敵.凍え→止まる	Frozen → it stops
自軍が回復→敵も自爆	You heal → it self-destructs
腐っています	It is rotting
重装甲(物理.魔法)を交互に貼る	Alternates Heavy Armor (phys./magic)
3.6.8.10ラウンド 大技	Rounds 3, 6, 8, 10: Special Move
6ラウンド後　死ぬ	Dies after round 6
魔法は効かない	Immune to Magic
全裸　→　ヤバイ	Fully naked → trouble
はにほー	Haniho!
攻撃　→　反射攻撃	Attack → Attack Reflect
3.6.10ラウンド　大技	Rounds 3, 6, 10: Special Move
3.10ラウンド　大技	Rounds 3, 10: Special Move
飛行、回避　発生	Gains Flight and Evasion
HP50%以下→逃亡有り	HP 50% or less → may flee
敵.異常２→逃亡有り	2 Debuffs on it → may flee
1.5.10.15ラウンド　大技	Rounds 1, 5, 10, 15: Special Move
自軍.恐怖→怒濤の攻撃	Allies in Fear → furious attacks
自軍.毒→雄叫び	Allies Poisoned → war cry
自軍.魔法→鬼の鏡	Allies cast Magic → Demon Mirror
自軍.恐怖→大技	Allies in Fear → Special Move
1ラウンド　間引き攻撃	Round 1: thinning attack
歌声　ＡＰ全消滅	Its song wipes out all AP
ゲート発動→敗北	The Gate opens → you lose
ゲート　魔法ブレイク等で除去可	Gate: Magic Break removes it
一定間隔で水面下に潜る	Dives underwater at intervals
回復行動多い	Heals often
6ラウンドに大回復	Round 6: big heal
敵HP50%以下　連続攻撃有り	HP 50% or less: chain attacks
攻撃、遠隔攻撃が効きにくい	Resists Attack and Ranged
呪い攻撃	Curse attacks
敵.異常→除去行動	Debuffed → cleanses it
自軍.感電→連続雷撃攻撃	Allies Shocked → chain lightning
自軍.燃え→連続炎攻撃	Allies Burning → chain fire attacks
自軍.凍え→連続氷攻撃	Allies Frozen → chain ice attacks
魔鉄匠の末裔には逆らえない	Cannot defy the Magic Smith's heir
